s2_2_3ch_frame0,241.45,273.95,185.95,230.45
s2_2_3ch_frame1,242.05,274.65,186.85,231.25
s2_2_3ch_frame2,242.05,278.65,186.55,233.65
s2_2_3ch_frame3,241.25,281.65,185.05,236.95
s2_2_3ch_frame4,240.35,283.85,183.95,238.95
s2_2_3ch_frame5,239.55,285.95,182.75,240.75
s2_2_3ch_frame6,238.65,288.05,181.65,242.35
s2_2_3ch_frame7,237.65,290.15,180.95,243.65
s2_2_3ch_frame8,236.65,291.95,179.65,245.05
s2_2_3ch_frame9,235.95,292.75,178.65,244.55
s2_2_3ch_frame10,235.45,292.65,178.05,244.55
s2_2_3ch_frame11,235.05,292.05,177.45,244.25
s2_2_3ch_frame12,236.35,290.25,177.45,241.95
s2_2_3ch_frame13,237.95,285.75,180.15,237.65
s2_2_3ch_frame14,238.85,281.75,183.35,235.85
s2_2_3ch_frame15,239.95,281.25,184.15,234.35
s2_2_3ch_frame16,241.15,281.95,183.85,233.05
s2_2_3ch_frame17,241.85,281.85,182.95,232.45
s2_2_3ch_frame18,241.85,281.35,182.65,231.95
s2_2_3ch_frame19,241.95,281.05,182.45,231.15
s2_2_3ch_frame20,242.15,281.05,182.35,230.75
s2_2_3ch_frame21,242.35,281.05,182.65,230.25
s2_2_3ch_frame22,242.75,280.15,183.55,229.25
s2_2_3ch_frame23,242.85,277.85,184.85,227.55
s2_2_3ch_frame24,242.85,277.05,185.55,226.75
