s2_2_4ch_frame0,322.95,285.45,287.45,258.45
s2_2_4ch_frame1,324.15,285.45,288.35,259.25
s2_2_4ch_frame2,328.65,284.85,289.55,259.15
s2_2_4ch_frame3,331.75,283.35,290.65,257.35
s2_2_4ch_frame4,334.05,281.65,290.85,255.25
s2_2_4ch_frame5,335.75,280.25,291.45,253.25
s2_2_4ch_frame6,337.15,278.45,292.75,251.35
s2_2_4ch_frame7,338.25,276.75,292.85,249.25
s2_2_4ch_frame8,339.45,275.35,294.25,247.85
s2_2_4ch_frame9,339.95,274.15,295.05,246.55
s2_2_4ch_frame10,339.65,273.95,295.55,245.85
s2_2_4ch_frame11,339.75,274.15,296.15,245.05
s2_2_4ch_frame12,338.45,277.75,294.05,246.05
s2_2_4ch_frame13,331.45,282.25,289.55,251.05
s2_2_4ch_frame14,326.55,283.15,289.05,253.35
s2_2_4ch_frame15,326.55,284.95,288.55,254.55
s2_2_4ch_frame16,328.35,285.95,288.05,255.45
s2_2_4ch_frame17,327.75,285.95,287.55,254.85
s2_2_4ch_frame18,327.65,286.05,287.75,254.45
s2_2_4ch_frame19,327.45,286.05,288.45,254.35
s2_2_4ch_frame20,327.65,286.25,288.65,254.55
s2_2_4ch_frame21,327.65,286.75,288.25,254.65
s2_2_4ch_frame22,326.15,287.45,287.15,255.55
s2_2_4ch_frame23,323.25,287.55,286.35,256.95
s2_2_4ch_frame24,322.65,287.35,286.75,258.15
